0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,CC(C)N1CCNCC1,663336,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)Br,3632575,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,3594,C(=O)([O-])[O-].[Cs+].[Cs+],293,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],291,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)N4CCN(CC4)C(C)C,3725475,C1COCCO1,1382,65.39,110,0,0.000886,,4.43E-05,0.00222,0.00177,0.000886,8.86E-05,"To a solution of ethyl
6-bromo-4-(2,4-difluorophenylamino)-7-ethoxyquinoline-3-carboxylate (400 mg,
0.89 mmol) and 1-(Isopropyl)piperazine (254 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½l, 1.77 mmol) in dioxane was
added cesium carbonate (722 mg, 2.22 mmol),
tris(dibenzylideneacetone)dipalladium(0) (40.6 mg, 0.04 mmol) and
rac-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (55.2 mg, 0.09 mmol). Reaction
vessel in oil bath set to 110 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C. 11am

After 5 hours, MS shows product (major peak 499), and SM (minor peak 453).

o/n, MS shows product peak. Reaction cooled, concentrated onto silica, and
purified on ISCO. 40g column, 1:1 EA:Hex, then 100% EA.

289mg yellow solid. NMR (EN00180-62-1) supports product, but some oxidi",65.39,,0.00177,0.000886,8.86E-05
3,4,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC,517245,C1=CC=C(C=C1)I,11323,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,12507,C(=O)([O-])[O-].[Cs+].[Cs+],293,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],291,CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC,3787105,COC1=CC=CC=C1,5146,75.07,100,1,0.00672,0.0298,0.000269,0.0168,0.00672,0.00806,0.000672,"9,9-Dimethyl-4,5-bis(diphenylphosphino)xanthene (389 mg, 0.67 mmol) and
Tris(dibenzylideneacetone)dipalladium(0) (246 mg, 0.27 mmol) were added to a
round bottom flask which was evacuated and flushed with nitrogen 3 times,
anisole (14.900 ml) was added and the mixture evacuated and flushed with
nitrogen 3 times and then heated to 50ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for 10 minutes. Cesium carbonate
(5474 mg, 16.80 mmol), methyl
5-amino-4-fluoro-1-methyl-1H-benzo[d]imidazole-6-carboxylate (1500 mg, 6.72
mmol) and Iodobenzene (0.902 ml, 8.06 mmol) were stirred in anisole (29.800
ml), the flask was evacuated and flushed with nitrogen three times and then
heated to 50ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C. The catalyst mixture was transferred into the flask with the
reactants (by syringe) and the mixture heated to 100 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for 18 hours. The
reaction mixture was diluted with isohexane (50 m) and the solid collected by
filtration and washed with more isohexane (25 ml). The solid was slurried in
DCM / MeOH and adsorbed onto silica theg with 2% 3.7N NH3 / MeOH in DCM to give methyl
4-fluoro-1-methyl-5-(phenylamino)-1H-benzo[d]imidazole-6-carboxylate (1510 mg,
75 %) as a light yellow solid.

",75.07,,0.00672,0.00806,0.000672
5,8,C1=CC(=CC=C1N)S(=O)(=O)N,2497861,CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,3760941,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,12507,C(=O)([O-])[O-].[Cs+].[Cs+],293,CC(=O)O.CC(=O)O.[Pd],3206,CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,3885879,CC(=O)N(C)C,3586,76.03,130,1,0.0426,0.2,0.00298,0.00426,0.0554,0.0426,0.00426,"XANTPHOS (2.466 g, 4.26 mmol) was added to
3-(2-chloropyridin-4-yloxy)-2,6-dimethylpyridine (10g, 42.61 mmol),
Sulfanilamide (9.54 g, 55.39 mmol) and CESIUM CARBONATE (20.83 g, 63.92 mmol)
in DMA (200 ml) at 20ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C. Nitrogen was bubbled through the reaction mixture for
1 hour then PALLADIUM(II) ACETATE (0.670 g, 2.98 mmol) added. The suspension
was stirred at 130 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for 3 hours. The reaction mixture was filtered then
evaporated to dryness. The residue was triturated with water (150 mL) and
filtered to give crude product as a cream solid - 90% pure. The crude solid
was triturated with hot acetonitrile (300 mL) and filtered to afford crude
product as a cream solid - 98% by LCMS. This was combined with the product
from EN02084-31 and dissolved in boiling acetonitrile (approx 1 L). The
solution was concentrated to 500 mL and cooled to ice bath temperature with
stirring. A precipitate formed which and the suspension was stirred at room
temperature overnight. The solid was filtered tin-3-yloxy)pyridin-2-ylamino)benzenesulfonamide (12.00
g, 76 %) as a cream solid.

",76.03,,0.0554,0.0426,0.00426
8,11,CC(=O)N1CCNCC1,520569,C1=C(C=NC=C1Br)Br,3671,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,12507,C(=O)([O-])[O-].[Cs+].[Cs+],293,CC(=O)O.CC(=O)O.[Pd],3206,CC(=O)N1CCN(CC1)C2=CC(=CN=C2)Br,2751150,C1COCCO1,1382,31.78,140,0,0.0052,,0.00052,0.0156,0.00573,0.0052,0.000625,"3,5-dibromopyridine (1.233 g, 5.20 mmol), 1-(piperazin-1-yl)ethanone (0.734 g,
5.73 mmol), PdOAc2 (0.117 g, 0.52 mmol), XANTPHOS (0.361 g, 0.62 mmol), Cs2CO3
(5.09 g, 15.61 mmol), 1,4-dioxane as added to a 10 mL microwave vial. This was
degassed and refilled with N2 and then heated at 140 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C in microwave for 1h.

LCMS showed reaction done with the peak at Rf1.24 showed a fragment mass of
284.

Evaporated solvent. Residue purified by ISCO (0-20% MeOH in EtOAc )to get the
desired product 1-(4-(5-bromopyridin-3-yl)piperazin-1-yl)ethanone (0.470 g,
31.8 %).

Trial # 1:

3,5-dibromopyridine (407 mg, 1.72 mmol), 1-(piperazin-1-yl)ethanone (231 mg,
1.81 mmol), PdOAc2 (38.6 mg, 0.17 mmol), XANTPHOS (119 mg, 0.21 mmol), Cs2CO3
(1681 mg, 5.16 mmol), 1,4-dioxane as added to a 10 mL microwave vial. This was
degassed and refilled with N2 and then heated at 140 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C in microwave for 1h.

LCMS showed reaction done with the peak at Rf1.22 showed a fragment mass of
284.

Evaporated solvent. ResH in EtOAc )to get the
desired product 1-(4-(5-bromopyridin-3-yl)piperazin-1-yl)ethanone (118mg,
24%).

",31.78,,0.00573,0.0052,0.000625
9,12,C1=CC(=CC=C1N)N2C=CN=C2,4079142,CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3,4078841,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,3588,C(=O)([O-])[O-].[Cs+].[Cs+],293,CC(=O)O.CC(=O)O.[Pd],3206,CN1CC(OC2=C(C1)C=CC(=N2)NC3=CC=C(C=C3)N4C=CN=C4)C5=CC=CC=C5,4079141,COCCOC,22628,41.47,100,1,0.000437,0.0025,4.37E-05,0.00131,0.000437,0.000437,4.37E-05,"[Reactants],
8-chloro-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepine
(0.120 g, 0.44 mmol), Palladium(II) acetate (9.81 mg, 0.04 mmol),
2-(Dicyclohexylphosphino)biphenyl (0.015 g, 0.04 mmol) and Cesium carbonate
(0.427 g, 1.31 mmol) in DME (2.5 mL) were placed in a microwave vial and
flushed with argon. The reaction mixture was then run in the microwave at
100ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for 1 hr. Reaction not complete. Run for another 30 minutes in the
microwave. Still not complete. Added 0.1 eq of Palladium(II)acetate and 0.1 eq
of 2-(Dicyclohexylphosphino)biphenyl and let the reaction mixture run in the
microwave for additional 45 minutes. Reaction complete. The reaction mixture
was filtrated through celite and the filtrate was concentrated. The crude
product was purified by preparative chromatography giving 0.072 g (41%) of the
product.

N-(4-(1H-imidazol-1-yl)phenyl)-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]ox",41.47,,0.000437,0.000437,4.37E-05
10,13,CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC,4078216,CC(=O)N1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3,4079540,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,3588,C(=O)([O-])[O-].[Cs+].[Cs+],293,CC(=O)O.CC(=O)O.[Pd],3206,CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CN=CC=C5)C(=O)C)C=C3)OC,4079572,COCCOC,22628,35.13,100,1,0.000142,0.002,1.42E-05,0.000425,0.00017,0.000142,1.42E-05,"1-(8-chloro-2-(pyridin-3-yl)-2,3-dihydropyrido[3,2-f][1,4]oxazepin-4(5H)-yl)ethanone
(0.043 g, 0.14 mmol), Palladium(II) acetate (3.18 mg, 0.01 mmol),
2-(Dicyclohexylphosphino)biphenyl (4.96 mg, 0.01 mmol) and Cesium carbonate
(0.138 g, 0.42 mmol) were placed in a microwave vial and flushed with argon.
DME (2 mL) was added and the reaction mixture was run in the microwave at
100ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for 60 minutes. No product according to LCMS. Added 0.1 eq of
Palladium(II) acetate (3.18 mg, 0.01 mmol) and 0.1 eq of
2-(Dicyclohexylphosphino)biphenyl (4.96 mg, 0.01 mmol) and flushed with argon.
Run in the microwave at 100ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for 30 minutes and the reaction was complete.
The reaction mixture was filtrated through celite and concentrated. The crude
product was purified by prep-HPLC. The solvent was evaporated and partitioned
between sat. NaHCO3 and dichloromethane. The organic layer was separated,
dried (MgSO4) and concentrated giving ",35.13,,0.00017,0.000142,1.42E-05
11,14,CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC,4078216,CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3,4078490,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,3588,C(=O)([O-])[O-].[Cs+].[Cs+],293,CC(=O)O.CC(=O)O.[Pd],3206,CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CN=CC=C5)C)C=C3)OC,4079596,COCCOC,22628,27.8,100,1,0.000236,0.002,2.36E-05,0.000707,0.000259,0.000236,2.36E-05,"[Reactants], Palladium(II) acetate (5.29 mg, 0.02 mmol),
2-(Dicyclohexylphosphino)biphenyl (8.26 mg, 0.02 mmol) and Cesium carbonate
(0.230 g, 0.71 mmol) were placed in a microwave vial and flushed with argon.
DME (2 mL) was added and the reaction mixture was run in the microwave at
100ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for 60 minutes. Reaction not complete. Added 0.1 eq of Palladium(II)
acetate (5.29 mg, 0.02 mmol) and 0.1 eq of 2-(Dicyclohexylphosphino)biphenyl
(8.26 mg, 0.02 mmol) and flushed with argon. Run in the microwave at 100ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for
60 minutes and the reaction was complete. The reaction mixture was filtrated
through celite and concentrated. The crude product was purified by prep-HPLC.
The solvent was evaporated and partitioned between sat. NaHCO3 and
dichloromethane. The organic layer was separated, dried (MgSO4) and
concentrated giving",27.8,,0.000259,0.000236,2.36E-05
12,17,CC(C)(C)OC(=O)N,4203,C1=CN=C(C=C1F)Cl,1839409,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,12507,C(=O)([O-])[O-].[Cs+].[Cs+],293,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],291,CC(C)(C)OC(=O)NC1=NC=CC(=C1)F,3885923,C1COCCO1,1382,19.46,90,0,0.001,0.0025,4.00E-05,8.00E-05,0.00105,0.001,8.00E-05,"2-chloro-4-fluoropyridine (132 mg, 1 mmol), tert-butyl carbamate (123 mg, 1.05
mmol), CESIUM CARBONATE (652 mg, 2.00 mmol)
,TRIS(DIBENZYLIDENEACETONE)DIPALLADIUM (36.6 mg, 0.04 mmol) and
9,9-DIMETHYL-4,5-BIS(DIPHENYLPHOSPHINO)XANTHENE (46.3 mg, 0.08 mmol) were
suspended in 1,4-dioxane (2.5 ml) ,degased with argon and heated to 90 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C for
4 hours.

After cooling the reaction was quenched with water and extracted with ethyl
acetate ( x 2 ). The combined organic phases were washed with water , a
saturated aqueous solution of brine , dried over magnesium sulfate ,
concentrated then purified by preparative HPLC using a Waters X-Bridge
reverse-phase column (C-18, 5 microns silica, 19 mm diameter, 100 mm length,
flow rate of 40 ml / minute) and decreasingly polar mixtures of water
(containing 0.2% ammonium carbonate) and acetonitrile as eluent.

The fractions containing the desired compound were evaporated to dryness to
afford tert-butyl 4-fluoropyridin-2-ylcarbamate (41.3",19.46,,0.00105,0.001,8.00E-05
13,18,COC1=C(C=CC(=C1)C=O)N,3646217,C1=CC2=NC=C(N2C=C1)C3=NC(=NC=C3Cl)Cl,3645221,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,12507,C1CCC2=NCCCN2CC1,2624,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],291,COC1=C(C=CC(=C1)C=O)NC2=NC=C(C(=N2)C3=CN=C4N3C=CC=C4)Cl,4673057,C1COCCO1,1382,34.9,120,0,0.0151,0.12,0.000377,0.00151,0.0377,0.0151,0.00151,"3-(2,5-dichloropyrimidin-4-yl)imidazo[1,2-a]pyridine (4 g, 15.09 mmol),
4-amino-3-methoxybenzaldehyde (2.281 g, 15.09 mmol),
9,9-DIMETHYL-4,5-BIS(DIPHENYLPHOSPHINO)XANTHENE (0.873 g, 1.51 mmol),
TRIS(DIBENZYLIDENEACETONE)DIPALLADIUM (0.345 g, 0.38 mmol) and
1,8-DIAZABICYCLO [5.4.0] UNDEC-7-ENE (5.64 ml, 37.72 mmol) were dissolved in
Dioxane (120 ml) then degazed and purged with argon. The reaction was heated
to reflux (bath 120ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C) for 2H30.

Reaction mixture was filtered through a filter cup and concentrated.
FR01132-77-01 w=14.65 g

The crude product was purified by flash chromatography (NOVASEP) on silica gel
( 15-40ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½m ) eluting with

0 to 5% methanol in dichloromethane. The solvent was evaporated to dryness to
afford
4-(5-chloro-4-(imidazo[1,2-a]pyridin-3-yl)pyrimidin-2-ylamino)-3-methoxybenzaldehyde
(34.9 %) as a clear yellow",34.9,,0.0377,0.0151,0.00151
14,19,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N,516654,C1COCCN1CC2=CC(=C(C=C2)Br)F,4012939,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,3594,CCC(C)(C)[O-].[Na+],93857,[Pd],65,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,4013012,CC1=CC=CC=C1,424,81,110,0,0.000361,0.0015,0.000108,0.000721,0.000361,0.000397,0.000162,"The aim of the reaction is test/optimization:

5-fluoro-4-(2-methyl-1-(tetrahydro-2H-pyran-4-yl)-1H-imidazol-5-yl)pyrimidin-2-amine
(100 mg, 0.36 mmol), 4-(4-bromo-3-fluorobenzyl)morpholine (109 mg, 0.40 mmol),
Palladium, 10% On Charcoal (115 mg, 0.11 mmol),
racemic-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (101 mg, 0.16 mmol) and
Sodium tert-pentoxide (79 mg, 0.72 mmol) were dissolved in toluene (1.5 mL)
and heated to 110 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½C under argon.

The reaction was monitorred by HPLC. After 16 h 81 % conversion was achieved.
The reaction was stopped and the mixture ",0,B,0.000361,0.000397,0.000162
